model_id,title,source_file,time_estimate,created_date
A-001,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 16:01:02
A-002,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 16:02:48
A-003,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 16:02:53
A-004,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 16:06:57
A-005,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 16:53:44
A-006,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 17:03:40
A-007,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 17:03:41
A-008,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 19:04:46
A-009,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 19:16:09
A-010,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 19:36:49
A-011,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 19:48:37
A-012,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 19:51:24
A-013,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 20:01:15
A-014,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 20:08:16
A-015,Ikea Marius Stool,/Users/sannikov/Documents/GitHub/trajectory_generation_automation/models_raw/IKEA MARIUS STOOL.fbx,40 minutes,2025-04-23 20:08:16
A-016,Ikea Marius Stool,IKEA MARIUS STOOL.fbx,23 minutes,2025-04-23 20:39:57
